DrugBank ID,Name,Type,UniProt ID,UniProt Name
DB00227,Lovastatin,SmallMoleculeDrug,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB00227,Lovastatin,SmallMoleculeDrug,P20701,Integrin alpha-L
DB00227,Lovastatin,SmallMoleculeDrug,Q92769,Histone deacetylase 2
DB00228,Enflurane,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00228,Enflurane,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00228,Enflurane,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00228,Enflurane,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00228,Enflurane,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00228,Enflurane,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00228,Enflurane,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00228,Enflurane,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00228,Enflurane,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00228,Enflurane,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00228,Enflurane,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00228,Enflurane,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00228,Enflurane,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00228,Enflurane,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00228,Enflurane,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00228,Enflurane,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00228,Enflurane,SmallMoleculeDrug,Q06432,Voltage-dependent calcium channel gamma-1 subunit
DB00228,Enflurane,SmallMoleculeDrug,Q9Y698,Voltage-dependent calcium channel gamma-2 subunit
DB00228,Enflurane,SmallMoleculeDrug,O60359,Voltage-dependent calcium channel gamma-3 subunit
DB00228,Enflurane,SmallMoleculeDrug,Q9UBN1,Voltage-dependent calcium channel gamma-4 subunit
DB00228,Enflurane,SmallMoleculeDrug,Q9UF02,Voltage-dependent calcium channel gamma-5 subunit
DB00228,Enflurane,SmallMoleculeDrug,Q9BXT2,Voltage-dependent calcium channel gamma-6 subunit
DB00228,Enflurane,SmallMoleculeDrug,P62955,Voltage-dependent calcium channel gamma-7 subunit
DB00228,Enflurane,SmallMoleculeDrug,Q8WXS5,Voltage-dependent calcium channel gamma-8 subunit
DB00228,Enflurane,SmallMoleculeDrug,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00228,Enflurane,SmallMoleculeDrug,Q9NY47,Voltage-dependent calcium channel subunit alpha-2/delta-2
DB00228,Enflurane,SmallMoleculeDrug,Q8IZS8,Voltage-dependent calcium channel subunit alpha-2/delta-3
DB00228,Enflurane,SmallMoleculeDrug,Q7Z3S7,Voltage-dependent calcium channel subunit alpha-2/delta-4
DB00228,Enflurane,SmallMoleculeDrug,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C
DB00228,Enflurane,SmallMoleculeDrug,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D
DB00228,Enflurane,SmallMoleculeDrug,O60840,Voltage-dependent L-type calcium channel subunit alpha-1F
DB00228,Enflurane,SmallMoleculeDrug,Q13698,Voltage-dependent L-type calcium channel subunit alpha-1S
DB00228,Enflurane,SmallMoleculeDrug,Q02641,Voltage-dependent L-type calcium channel subunit beta-1
DB00228,Enflurane,SmallMoleculeDrug,Q08289,Voltage-dependent L-type calcium channel subunit beta-2
DB00228,Enflurane,SmallMoleculeDrug,P54284,Voltage-dependent L-type calcium channel subunit beta-3
DB00228,Enflurane,SmallMoleculeDrug,O00305,Voltage-dependent L-type calcium channel subunit beta-4
DB00228,Enflurane,SmallMoleculeDrug,Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B
DB00228,Enflurane,SmallMoleculeDrug,O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
DB00228,Enflurane,SmallMoleculeDrug,Q15878,Voltage-dependent R-type calcium channel subunit alpha-1E
DB00228,Enflurane,SmallMoleculeDrug,O43497,Voltage-dependent T-type calcium channel subunit alpha-1G
DB00228,Enflurane,SmallMoleculeDrug,O95180,Voltage-dependent T-type calcium channel subunit alpha-1H
DB00228,Enflurane,SmallMoleculeDrug,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I
DB00228,Enflurane,SmallMoleculeDrug,P23415,Glycine receptor subunit alpha-1
DB00228,Enflurane,SmallMoleculeDrug,Q09470,Potassium voltage-gated channel subfamily A member 1
DB00228,Enflurane,SmallMoleculeDrug,Q16322,Potassium voltage-gated channel subfamily A member 10
DB00228,Enflurane,SmallMoleculeDrug,P16389,Potassium voltage-gated channel subfamily A member 2
DB00228,Enflurane,SmallMoleculeDrug,P22001,Potassium voltage-gated channel subfamily A member 3
DB00228,Enflurane,SmallMoleculeDrug,P22459,Potassium voltage-gated channel subfamily A member 4
DB00228,Enflurane,SmallMoleculeDrug,P22460,Potassium voltage-gated channel subfamily A member 5
DB00228,Enflurane,SmallMoleculeDrug,P17658,Potassium voltage-gated channel subfamily A member 6
DB00228,Enflurane,SmallMoleculeDrug,Q14721,Potassium voltage-gated channel subfamily B member 1
DB00228,Enflurane,SmallMoleculeDrug,Q92953,Potassium voltage-gated channel subfamily B member 2
DB00228,Enflurane,SmallMoleculeDrug,P48547,Potassium voltage-gated channel subfamily C member 1
DB00228,Enflurane,SmallMoleculeDrug,Q96PR1,Potassium voltage-gated channel subfamily C member 2
DB00228,Enflurane,SmallMoleculeDrug,Q14003,Potassium voltage-gated channel subfamily C member 3
DB00228,Enflurane,SmallMoleculeDrug,Q03721,Potassium voltage-gated channel subfamily C member 4
DB00228,Enflurane,SmallMoleculeDrug,Q9NSA2,Potassium voltage-gated channel subfamily D member 1
DB00228,Enflurane,SmallMoleculeDrug,Q9NZV8,Potassium voltage-gated channel subfamily D member 2
DB00228,Enflurane,SmallMoleculeDrug,Q9UK17,Potassium voltage-gated channel subfamily D member 3
DB00228,Enflurane,SmallMoleculeDrug,P15382,Potassium voltage-gated channel subfamily E member 1
DB00228,Enflurane,SmallMoleculeDrug,Q9Y6J6,Potassium voltage-gated channel subfamily E member 2
DB00228,Enflurane,SmallMoleculeDrug,Q9Y6H6,Potassium voltage-gated channel subfamily E member 3
DB00228,Enflurane,SmallMoleculeDrug,Q8WWG9,Potassium voltage-gated channel subfamily E member 4
DB00228,Enflurane,SmallMoleculeDrug,Q9UJ90,Potassium voltage-gated channel subfamily E regulatory beta subunit 5
DB00228,Enflurane,SmallMoleculeDrug,Q9H3M0,Potassium voltage-gated channel subfamily F member 1
DB00228,Enflurane,SmallMoleculeDrug,Q9UIX4,Potassium voltage-gated channel subfamily G member 1
DB00228,Enflurane,SmallMoleculeDrug,Q9UJ96,Potassium voltage-gated channel subfamily G member 2
DB00228,Enflurane,SmallMoleculeDrug,Q8TAE7,Potassium voltage-gated channel subfamily G member 3
DB00228,Enflurane,SmallMoleculeDrug,Q8TDN1,Potassium voltage-gated channel subfamily G member 4
DB00228,Enflurane,SmallMoleculeDrug,O95259,Potassium voltage-gated channel subfamily H member 1
DB00228,Enflurane,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2
DB00228,Enflurane,SmallMoleculeDrug,Q9ULD8,Potassium voltage-gated channel subfamily H member 3
DB00228,Enflurane,SmallMoleculeDrug,Q9UQ05,Potassium voltage-gated channel subfamily H member 4
DB00228,Enflurane,SmallMoleculeDrug,Q8NCM2,Potassium voltage-gated channel subfamily H member 5
DB00228,Enflurane,SmallMoleculeDrug,Q9H252,Potassium voltage-gated channel subfamily H member 6
DB00228,Enflurane,SmallMoleculeDrug,Q9NS40,Potassium voltage-gated channel subfamily H member 7
DB00228,Enflurane,SmallMoleculeDrug,Q96L42,Potassium voltage-gated channel subfamily H member 8
DB00228,Enflurane,SmallMoleculeDrug,P51787,Potassium voltage-gated channel subfamily KQT member 1
DB00228,Enflurane,SmallMoleculeDrug,O43526,Potassium voltage-gated channel subfamily KQT member 2
DB00228,Enflurane,SmallMoleculeDrug,O43525,Potassium voltage-gated channel subfamily KQT member 3
DB00228,Enflurane,SmallMoleculeDrug,P56696,Potassium voltage-gated channel subfamily KQT member 4
DB00228,Enflurane,SmallMoleculeDrug,Q9NR82,Potassium voltage-gated channel subfamily KQT member 5
DB00228,Enflurane,SmallMoleculeDrug,Q96KK3,Potassium voltage-gated channel subfamily S member 1
DB00228,Enflurane,SmallMoleculeDrug,Q9BQ31,Potassium voltage-gated channel subfamily S member 3
DB00228,Enflurane,SmallMoleculeDrug,Q6PIU1,Potassium voltage-gated channel subfamily V member 1
DB00228,Enflurane,SmallMoleculeDrug,Q8TDN2,Potassium voltage-gated channel subfamily V member 2
DB00228,Enflurane,SmallMoleculeDrug,Q14722,Voltage-gated potassium channel subunit beta-1
DB00228,Enflurane,SmallMoleculeDrug,Q13303,Voltage-gated potassium channel subunit beta-2
DB00228,Enflurane,SmallMoleculeDrug,P98194,Calcium-transporting ATPase type 2C member 1
DB00228,Enflurane,SmallMoleculeDrug,Q05586,"Glutamate receptor ionotropic, NMDA 1"
DB00228,Enflurane,SmallMoleculeDrug,Q12879,"Glutamate receptor ionotropic, NMDA 2A"
DB00228,Enflurane,SmallMoleculeDrug,Q13224,"Glutamate receptor ionotropic, NMDA 2B"
DB00228,Enflurane,SmallMoleculeDrug,Q14957,"Glutamate receptor ionotropic, NMDA 2C"
DB00228,Enflurane,SmallMoleculeDrug,O15399,"Glutamate receptor ionotropic, NMDA 2D"
DB00228,Enflurane,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
DB00228,Enflurane,SmallMoleculeDrug,O60391,"Glutamate receptor ionotropic, NMDA 3B"
DB00228,Enflurane,SmallMoleculeDrug,O14983,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
DB00229,Cefotiam,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A
DB00230,Pregabalin,SmallMoleculeDrug,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00231,Temazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00231,Temazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00231,Temazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00231,Temazepam,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00231,Temazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00231,Temazepam,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00231,Temazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00231,Temazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00231,Temazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00231,Temazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00231,Temazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00231,Temazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00231,Temazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00231,Temazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00231,Temazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00231,Temazepam,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00231,Temazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00231,Temazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00231,Temazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00231,Temazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00231,Temazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00231,Temazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00231,Temazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00233,Aminosalicylic acid,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00233,Aminosalicylic acid,SmallMoleculeDrug,O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB00233,Aminosalicylic acid,SmallMoleculeDrug,P09917,Arachidonate 5-lipoxygenase
DB00233,Aminosalicylic acid,SmallMoleculeDrug,Q9NZK7,Group IIE secretory phospholipase A2
DB00234,Reboxetine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter
DB00235,Milrinone,SmallMoleculeDrug,Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
DB00237,Butabarbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00237,Butabarbital,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00237,Butabarbital,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00237,Butabarbital,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00237,Butabarbital,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00237,Butabarbital,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00237,Butabarbital,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00237,Butabarbital,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00237,Butabarbital,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00237,Butabarbital,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00237,Butabarbital,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00237,Butabarbital,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00237,Butabarbital,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00237,Butabarbital,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00237,Butabarbital,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00237,Butabarbital,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00237,Butabarbital,SmallMoleculeDrug,Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10
DB00237,Butabarbital,SmallMoleculeDrug,Q15822,Neuronal acetylcholine receptor subunit alpha-2
DB00237,Butabarbital,SmallMoleculeDrug,P32297,Neuronal acetylcholine receptor subunit alpha-3
DB00237,Butabarbital,SmallMoleculeDrug,P43681,Neuronal acetylcholine receptor subunit alpha-4
DB00237,Butabarbital,SmallMoleculeDrug,P30532,Neuronal acetylcholine receptor subunit alpha-5
DB00237,Butabarbital,SmallMoleculeDrug,Q15825,Neuronal acetylcholine receptor subunit alpha-6
DB00237,Butabarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7
DB00237,Butabarbital,SmallMoleculeDrug,Q9UGM1,Neuronal acetylcholine receptor subunit alpha-9
DB00237,Butabarbital,SmallMoleculeDrug,P17787,Neuronal acetylcholine receptor subunit beta-2
DB00237,Butabarbital,SmallMoleculeDrug,Q05901,Neuronal acetylcholine receptor subunit beta-3
DB00237,Butabarbital,SmallMoleculeDrug,P30926,Neuronal acetylcholine receptor subunit beta-4
DB00237,Butabarbital,SmallMoleculeDrug,P42261,Glutamate receptor 1
DB00237,Butabarbital,SmallMoleculeDrug,P42262,Glutamate receptor 2
DB00237,Butabarbital,SmallMoleculeDrug,P42263,Glutamate receptor 3
DB00237,Butabarbital,SmallMoleculeDrug,P48058,Glutamate receptor 4
DB00237,Butabarbital,SmallMoleculeDrug,P39086,"Glutamate receptor ionotropic, kainate 1"
DB00237,Butabarbital,SmallMoleculeDrug,Q13002,"Glutamate receptor ionotropic, kainate 2"
DB00237,Butabarbital,SmallMoleculeDrug,Q13003,"Glutamate receptor ionotropic, kainate 3"
DB00237,Butabarbital,SmallMoleculeDrug,Q16099,"Glutamate receptor ionotropic, kainate 4"
DB00237,Butabarbital,SmallMoleculeDrug,Q16478,"Glutamate receptor ionotropic, kainate 5"
DB00238,Nevirapine,SmallMoleculeDrug,Q72547,Reverse transcriptase/RNaseH
DB00239,Oxiconazole,SmallMoleculeDrug,P10613,Lanosterol 14-alpha demethylase
DB00239,Oxiconazole,SmallMoleculeDrug,Q04782,Lanosterol synthase
DB00239,Oxiconazole,SmallMoleculeDrug,O75469,Nuclear receptor subfamily 1 group I member 2
DB00240,Alclometasone,SmallMoleculeDrug,P04150,Glucocorticoid receptor
DB00241,Butalbital,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00241,Butalbital,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00241,Butalbital,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00241,Butalbital,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00241,Butalbital,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00241,Butalbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00241,Butalbital,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00241,Butalbital,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00241,Butalbital,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00241,Butalbital,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00241,Butalbital,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00241,Butalbital,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00241,Butalbital,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00241,Butalbital,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00241,Butalbital,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00241,Butalbital,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00241,Butalbital,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00241,Butalbital,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00241,Butalbital,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00241,Butalbital,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00241,Butalbital,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00241,Butalbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00241,Butalbital,SmallMoleculeDrug,P43681,Neuronal acetylcholine receptor subunit alpha-4
DB00241,Butalbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7
DB00241,Butalbital,SmallMoleculeDrug,P42262,Glutamate receptor 2
DB00241,Butalbital,SmallMoleculeDrug,Q13002,"Glutamate receptor ionotropic, kainate 2"
DB00242,Cladribine,SmallMoleculeDrug,P23921,Ribonucleoside-diphosphate reductase large subunit
DB00242,Cladribine,SmallMoleculeDrug,P31350,Ribonucleoside-diphosphate reductase subunit M2
DB00242,Cladribine,SmallMoleculeDrug,Q7LG56,Ribonucleoside-diphosphate reductase subunit M2 B
DB00242,Cladribine,SmallMoleculeDrug,P09884,DNA polymerase alpha catalytic subunit
DB00242,Cladribine,SmallMoleculeDrug,Q07864,DNA polymerase epsilon catalytic subunit A
DB00242,Cladribine,SmallMoleculeDrug,P56282,DNA polymerase epsilon subunit 2
DB00242,Cladribine,SmallMoleculeDrug,Q9NRF9,DNA polymerase epsilon subunit 3
DB00242,Cladribine,SmallMoleculeDrug,Q9NR33,DNA polymerase epsilon subunit 4
DB00242,Cladribine,SmallMoleculeDrug,P00491,Purine nucleoside phosphorylase
DB00243,Ranolazine,SmallMoleculeDrug,P35498,Sodium channel protein type 1 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q9Y5Y9,Sodium channel protein type 10 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q9UI33,Sodium channel protein type 11 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q99250,Sodium channel protein type 2 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q9NY46,Sodium channel protein type 3 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,P35499,Sodium channel protein type 4 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q14524,Sodium channel protein type 5 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q01118,Sodium channel protein type 7 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q9UQD0,Sodium channel protein type 8 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q15858,Sodium channel protein type 9 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q07699,Sodium channel subunit beta-1
DB00243,Ranolazine,SmallMoleculeDrug,O60939,Sodium channel subunit beta-2
DB00243,Ranolazine,SmallMoleculeDrug,Q9NY72,Sodium channel subunit beta-3
DB00243,Ranolazine,SmallMoleculeDrug,Q8IWT1,Sodium channel subunit beta-4
DB00243,Ranolazine,SmallMoleculeDrug,Q14500,ATP-sensitive inward rectifier potassium channel 12
DB00243,Ranolazine,SmallMoleculeDrug,Q9UNX9,ATP-sensitive inward rectifier potassium channel 14
DB00243,Ranolazine,SmallMoleculeDrug,P63252,Inward rectifier potassium channel 2
DB00243,Ranolazine,SmallMoleculeDrug,P48050,Inward rectifier potassium channel 4
DB00243,Ranolazine,SmallMoleculeDrug,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C
DB00243,Ranolazine,SmallMoleculeDrug,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D
DB00243,Ranolazine,SmallMoleculeDrug,O60840,Voltage-dependent L-type calcium channel subunit alpha-1F
DB00243,Ranolazine,SmallMoleculeDrug,Q13698,Voltage-dependent L-type calcium channel subunit alpha-1S
DB00243,Ranolazine,SmallMoleculeDrug,Q02641,Voltage-dependent L-type calcium channel subunit beta-1
DB00243,Ranolazine,SmallMoleculeDrug,Q08289,Voltage-dependent L-type calcium channel subunit beta-2
DB00243,Ranolazine,SmallMoleculeDrug,P54284,Voltage-dependent L-type calcium channel subunit beta-3
DB00243,Ranolazine,SmallMoleculeDrug,O00305,Voltage-dependent L-type calcium channel subunit beta-4
DB00243,Ranolazine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB00243,Ranolazine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB00243,Ranolazine,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor
DB00243,Ranolazine,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor
DB00244,Mesalazine,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00244,Mesalazine,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00244,Mesalazine,SmallMoleculeDrug,P09917,Arachidonate 5-lipoxygenase
DB00244,Mesalazine,SmallMoleculeDrug,P37231,Peroxisome proliferator-activated receptor gamma
DB00244,Mesalazine,SmallMoleculeDrug,O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB00244,Mesalazine,SmallMoleculeDrug,O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta
DB00244,Mesalazine,SmallMoleculeDrug,P35228,"Nitric oxide synthase, inducible"
DB00245,Benzatropine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB00245,Benzatropine,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter
DB00245,Benzatropine,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB00245,Benzatropine,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter
DB00245,Benzatropine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter
DB00246,Ziprasidone,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB00246,Ziprasidone,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB00246,Ziprasidone,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D
DB00246,Ziprasidone,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C
DB00246,Ziprasidone,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P21918,D(1B) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P35462,D(3) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P21917,D(4) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00246,Ziprasidone,SmallMoleculeDrug,P28566,5-hydroxytryptamine receptor 1E
DB00246,Ziprasidone,SmallMoleculeDrug,P50406,5-hydroxytryptamine receptor 6
DB00246,Ziprasidone,SmallMoleculeDrug,P34969,5-hydroxytryptamine receptor 7
DB00246,Ziprasidone,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB00246,Ziprasidone,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2
DB00246,Ziprasidone,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3
DB00246,Ziprasidone,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4
DB00246,Ziprasidone,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5
DB00246,Ziprasidone,SmallMoleculeDrug,P46098,5-hydroxytryptamine receptor 3A
DB00246,Ziprasidone,SmallMoleculeDrug,O95264,5-hydroxytryptamine receptor 3B
DB00246,Ziprasidone,SmallMoleculeDrug,Q8WXA8,5-hydroxytryptamine receptor 3C
DB00246,Ziprasidone,SmallMoleculeDrug,Q70Z44,5-hydroxytryptamine receptor 3D
DB00246,Ziprasidone,SmallMoleculeDrug,A5X5Y0,5-hydroxytryptamine receptor 3E
DB00246,Ziprasidone,SmallMoleculeDrug,P47898,5-hydroxytryptamine receptor 5A
